Constituency,Candidate,Party,Votes
Uttar Pradesh - Chail,MOHD  ASIF JAFRI,Bahujan Samaj Party,43776
Uttar Pradesh - Chail,SHIKHA SAROJ,Independent,6260
Uttar Pradesh - Chail,SUBHASH CHANDRA,Independent,4557
Uttar Pradesh - Chail,ROOPCHAND,Independent,2625
Uttar Pradesh - Chail,NARENDRA KUMAR MAURYA,Bahujan Mukti Party,2432
Uttar Pradesh - Chail,ARUN KUMAR,Rashtriya Janadhar  Party,1799
Uttar Pradesh - Chail,HARIHAR SINGH,Rashtriya Kisan Majdoor Party,1635
Uttar Pradesh - Chail,VIJAY KUMAR RAMDAS RAVIDAS,Independent,1632
Uttar Pradesh - Chail,MOHD. FAROOQUE,Independent,923
Uttar Pradesh - Chail,LALBAHADUR,Jan Kalyan Party,854
Uttar Pradesh - Chail,CHANDRIKA PRASAD RAJPASI,Bharat Kranti Rakshak Party,699
Uttar Pradesh - Chail,ASHARFI,Rashtriya Bahujan Congress Party,648
Uttar Pradesh - Chail,TEJSINGH VARMA,Swatantra Jantaraj Party,621
Uttar Pradesh - Chail,RAM BISHAL PASWAN,Republican Party of India (A),611
Uttar Pradesh - Chail,QAMAR SAEED,Bahujan Samaj Vikas Party,581
Uttar Pradesh - Chail,DHARMENDRA DUTT PANDEY,Bhartiya Shakti Chetna Party,550
Uttar Pradesh - Chail,MANOJ KUMAR TRIPATHI,Rashtravyapi Janta Party,490
Uttar Pradesh - Chail,None of the Above,None of the Above,1352
Uttar Pradesh - Phaphamau,VIKRAMAJEET,Bharatiya Janata Party,83239
Uttar Pradesh - Phaphamau,ANSAR AHAMAD,Samajwadi Party,57254
Uttar Pradesh - Phaphamau,MANOJ,Bahujan Samaj Party,51983
Uttar Pradesh - Phaphamau,RAJ KUMAR,Independent,3171
Uttar Pradesh - Phaphamau,CHANDRIKA PRASAD SAHU,Lok Dal,1503
Uttar Pradesh - Phaphamau,RAMSAJIWAN,Rashtriya Lok Dal,1417
Uttar Pradesh - Phaphamau,SUDHA PATEL,Bhartiya Sangam Party,857
Uttar Pradesh - Phaphamau,AWANISH PANDEY,Independent,833
Uttar Pradesh - Phaphamau,KAMLESH KUMAR,Independent,621
Uttar Pradesh - Phaphamau,PAWAN TRIPATHI,Yuva Vikas Party,617
Uttar Pradesh - Phaphamau,SATENDRA PRASAD,Republican Party of India,612
Uttar Pradesh - Phaphamau,RAGHUNATH,Bahujan Awam Party,588
Uttar Pradesh - Phaphamau,None of the Above,None of the Above,2571
Uttar Pradesh - Soraon,JAMUNA PRASAD,Apna Dal (Soneylal),77814
Uttar Pradesh - Soraon,GEETA DEVI,Bahujan Samaj Party,60079
Uttar Pradesh - Soraon,SATYAVEER,Samajwadi Party,54345
Uttar Pradesh - Soraon,SURENDRA KUMAR,Bharatiya Janata Party,6522
Uttar Pradesh - Soraon,AJAY KUMAR,Independent,2907
Uttar Pradesh - Soraon,KRISHAN KUMAR,Bhartiya Rashtriya Jansatta,1285
Uttar Pradesh - Soraon,MANOJ,Rashtriya Samaj Paksha,1208
Uttar Pradesh - Soraon,SUNIL KUMAR RAJPASI,Bharat Kranti Rakshak Party,1095
Uttar Pradesh - Soraon,ASHOK KUMAR,Independent,976
Uttar Pradesh - Soraon,PHOOL CHANDRA,Communist Party of India  (Marxist),932
Uttar Pradesh - Soraon,JAVAHAR LAL DIVAKAR,Indian National Congress,847
Uttar Pradesh - Soraon,SHYAM LAL,Bahujan Awam Party,771
Uttar Pradesh - Soraon,MUNNA,Pragatisheel Samaj Party,738
Uttar Pradesh - Soraon,LILAWATI,Yuva Vikas Party,700
Uttar Pradesh - Soraon,None of the Above,None of the Above,2460
Uttar Pradesh - Phulpur,PRAVEEN KUMAR SINGH,Bharatiya Janata Party,93912
Uttar Pradesh - Phulpur,MANSOOR ALAM,Samajwadi Party,67299
Uttar Pradesh - Phulpur,MOHAMMED MASROOR SHAIKH,Bahujan Samaj Party,50421
Uttar Pradesh - Phulpur,RAM KISHUN SINGH,Independent,2048
Uttar Pradesh - Phulpur,ASHOK KUMAR DUBEY,Pragatisheel Manav Samaj Party,1596
Uttar Pradesh - Phulpur,VINOD KUMAR PANDEY,Akhil Bharat Hindu Mahasabha,1147
Uttar Pradesh - Phulpur,VINAY KUMAR BHASKAR,Independent,922
Uttar Pradesh - Phulpur,JAWAHAR LAL,Nationalist Congress Party,911
Uttar Pradesh - Phulpur,MANJU MAURYA,Jan Adhikar Manch,879
Uttar Pradesh - Phulpur,ANIL KUMAR SHUKLA,Ambedkar Yug Party,782
Uttar Pradesh - Phulpur,PRAMOD CHANDRA,Rashtriya Lok Dal,747
Uttar Pradesh - Phulpur,TAHSEEN AHAMAD,Parivartan Samaj Party,628
Uttar Pradesh - Phulpur,SHIV CHANDRA,Independent,566
Uttar Pradesh - Phulpur,VINOD KUMAR,Pichhravarg Mahapanchayat Party,461
Uttar Pradesh - Phulpur,None of the Above,None of the Above,1614
Uttar Pradesh - Pratappur,MOHD MUJTABA SIDDQUI,Bahujan Samaj Party,66805
Uttar Pradesh - Pratappur,KARAN SINGH,Apna Dal (Soneylal),64151
Uttar Pradesh - Pratappur,VIJAMA YADAV,Samajwadi Party,51645
Uttar Pradesh - Pratappur,SANTOSH KUMAR,Independent,7264
Uttar Pradesh - Pratappur,KRISHNA LAL,Independent,4658
Uttar Pradesh - Pratappur,PUSHPRAJ,Sarv Sambhaav Party,2020
Uttar Pradesh - Pratappur,BRIJESH KUMAR,Independent,1640
Uttar Pradesh - Pratappur,RATNA DEVI,Independent,1393
Uttar Pradesh - Pratappur,SURESH KUMAR,Rashtriya Lok Dal,1217
Uttar Pradesh - Pratappur,RAM KAILASH,Independent,1156
Uttar Pradesh - Pratappur,PANKAJ KUMAR SINGH,Independent,1100
Uttar Pradesh - Pratappur,HUSAIN MOHAMMAD HADEES,Rashtriya Ulama Council,686
Uttar Pradesh - Pratappur,MANOJ KUMAR,Independent,630
Uttar Pradesh - Pratappur,SAIYYAD WASI AHMAD,Pragatisheel Samaj Party,392
Uttar Pradesh - Pratappur,None of the Above,None of the Above,2916
Uttar Pradesh - Handia,HAKIM LAL,Bahujan Samaj Party,72446
Uttar Pradesh - Handia,PRAMILA DEVI,Apna Dal (Soneylal),63920
Uttar Pradesh - Handia,NIDHI YADAV,Samajwadi Party,55403
Uttar Pradesh - Handia,AWADHESH KUMAR,Independent,2995
Uttar Pradesh - Handia,MITHAI LAL,Bahujan Awam Party,1448
Uttar Pradesh - Handia,VIJAY BAHADUR,Rashtriya Lok Dal,1349
Uttar Pradesh - Handia,PRABHAT TRIPATHI,Independent,973
Uttar Pradesh - Handia,SNEH LATA YADAV,Naveen Samajwadi Dal,588
Uttar Pradesh - Handia,MANGALA PRASAD,Independent,587
Uttar Pradesh - Handia,None of the Above,None of the Above,2414
Uttar Pradesh - Meja,NEELAM KARWARIYA,Bharatiya Janata Party,67807
Uttar Pradesh - Meja,RAM SEWAK SINGH,Samajwadi Party,47964
Uttar Pradesh - Meja,SURENDRA,Bahujan Samaj Party,44622
Uttar Pradesh - Meja,SARVESH CHANDRA,Nirbal Indian Shoshit Hamara Aam Dal,11535
Uttar Pradesh - Meja,SATYENDRA SINGH,Independent,1434
Uttar Pradesh - Meja,SURYA BHAN SINGH,Independent,1327
Uttar Pradesh - Meja,HANSRAJ,Rashtriya Lok Dal,675
Uttar Pradesh - Meja,VIMAL CHANDRA,Independent,546
Uttar Pradesh - Meja,ANIL KUMAR,Independent,542
Uttar Pradesh - Meja,LALLAN,Desh Shakti Party,526
Uttar Pradesh - Meja,KRISHNAKANT,Bahujan Mukti Party,509
Uttar Pradesh - Meja,MAHENDRA KUMAR RAWAT,Independent,492
Uttar Pradesh - Meja,JANARDAN,Lok Gathbandhan Party,278
Uttar Pradesh - Meja,AMIT RAJ ANAND,Independent,248
Uttar Pradesh - Meja,RAVINDRA KUMAR,Pragatisheel Samaj Party,220
Uttar Pradesh - Meja,None of the Above,None of the Above,2459
Uttar Pradesh - Karachhana,UJJWAL RAMAN SINGH,Samajwadi Party,80806
Uttar Pradesh - Karachhana,PIYUSH RANJAN,Bharatiya Janata Party,65782
Uttar Pradesh - Karachhana,DEEPAK PATEL,Bahujan Samaj Party,40998
Uttar Pradesh - Karachhana,BABITA SINGH,Independent,1522
Uttar Pradesh - Karachhana,RAJENDRA SINGH,Rashtriya Lok Dal,1170
Uttar Pradesh - Karachhana,SUVEDAR,Independent,1095
Uttar Pradesh - Karachhana,SUJEET,Independent,1094
Uttar Pradesh - Karachhana,RAJESH,Bahujan Mukti Party,786
Uttar Pradesh - Karachhana,PRAMOD SINGH SINGH,Independent,729
Uttar Pradesh - Karachhana,VIMAL KUMAR DWIVEDI,Independent,716
Uttar Pradesh - Karachhana,AJEET KUMAR PATEL,Independent,547
Uttar Pradesh - Karachhana,MANOJ KUMAR SINGH,Independent,357
Uttar Pradesh - Karachhana,JAI PRAKASH MISHRA,Republican Party of India,304
Uttar Pradesh - Karachhana,KANCHAN DEVI,Bharatiya Kisan Sena Loktantrik,292
Uttar Pradesh - Karachhana,AJAY KUMAR,Independent,228
Uttar Pradesh - Karachhana,None of the Above,None of the Above,2308
Uttar Pradesh - Allahabad West,SIDHARTH NATH SINGH,Bharatiya Janata Party,85518
Uttar Pradesh - Allahabad West,RICHA SINGH,Samajwadi Party,60182
Uttar Pradesh - Allahabad West,POOJA PAL,Bahujan Samaj Party,40499
Uttar Pradesh - Allahabad West,HASAN AKHLAQ,Independent,4018
Uttar Pradesh - Allahabad West,CHANDRA DEV SINGH,Nirbal Indian Shoshit Hamara Aam Dal,2974
Uttar Pradesh - Allahabad West,REETA DEVI,Independent,1000
Uttar Pradesh - Allahabad West,SUNIL KUMAR,Rashtriya Lok Dal,999
Uttar Pradesh - Allahabad West,RAJENDRA KUMAR,Independent,435
Uttar Pradesh - Allahabad West,GANESH JI,Independent,368
Uttar Pradesh - Allahabad West,RAJ KUMAR SRIVASTAVA,Vikas Party,307
Uttar Pradesh - Allahabad West,NADIM AHAMAD,Awami Vikas Party,280
Uttar Pradesh - Allahabad West,NIZAMUDDIN,Independent,250
Uttar Pradesh - Allahabad West,DAKKHINI PRASAD,Pragatisheel Samaj Party,203
Uttar Pradesh - Allahabad West,None of the Above,None of the Above,1659
Uttar Pradesh - Allahabad North,Candidate,Party,NA
Uttar Pradesh - Allahabad North,HARSHVARDHAN BAJPAI,Bharatiya Janata Party,89191
Uttar Pradesh - Allahabad North,ANUGRAH NARAIN SINGH,Indian National Congress,54166
Uttar Pradesh - Allahabad North,AMIT,Bahujan Samaj Party,23388
Uttar Pradesh - Allahabad North,BADAL CHATTERJEE,Independent,980
Uttar Pradesh - Allahabad North,DHIRAJ KUMAR AGRAWAL,Independent,557
Uttar Pradesh - Allahabad North,AJAY KUMAR,Republican Party of India (A),492
Uttar Pradesh - Allahabad North,PRAVEEN KUMAR SRIVASTAVA,Independent,445
Uttar Pradesh - Allahabad North,INDRESH KUMAR SONKAR,Independent,443
Uttar Pradesh - Allahabad North,PUSHPENDRA KUMAR,Independent,433
Uttar Pradesh - Allahabad North,SUNIL KUMAR GUPTA,Bharat Kranti Rakshak Party,256
Uttar Pradesh - Allahabad North,SHAURYA DEEP,Independent,252
Uttar Pradesh - Allahabad North,SHAILENDRA KUMAR PRAJAPATI,Independent,225
Uttar Pradesh - Allahabad North,ABHINAV SRIVASTAVA,Independent,214
Uttar Pradesh - Allahabad North,ANSHU TRIPATHI,Independent,197
Uttar Pradesh - Allahabad North,ASHUTOOSH BAJPAI,Sarvajan Kalyan Loktantrik Party,195
Uttar Pradesh - Allahabad North,VINDESHWARI PRASAD,Shivsena,176
Uttar Pradesh - Allahabad North,MRIGANK SHEKHAR SINGH,Lok Gathbandhan Party,133
Uttar Pradesh - Allahabad North,MADHU SINGH,Independent,115
Uttar Pradesh - Allahabad North,RAJESH YADAV,Independent,112
Uttar Pradesh - Allahabad North,UMESH CHANDRA,Bahujan Awam Party,107
Uttar Pradesh - Allahabad North,SUNIL KUMAR,Bahujan Mukti Party,102
Uttar Pradesh - Allahabad North,RAMAKANT,Independent,99
Uttar Pradesh - Allahabad North,BHAIYA RAM YADAV,Independent,87
Uttar Pradesh - Allahabad North,RITESH KUMAR,Independent,80
Uttar Pradesh - Allahabad North,SHARAD KHARE,Rashtravadi Pratap Sena,75
Uttar Pradesh - Allahabad North,UDAI BHAN SRIVASTAVA,Rashtriya Bandhutwa Party,63
Uttar Pradesh - Allahabad North,None of the Above,None of the Above,659
Uttar Pradesh - Allahabad South,NAND GOPAL GUPTA NANDI,Bharatiya Janata Party,93011
Uttar Pradesh - Allahabad South,PARVEZ  AHMAD,Samajwadi Party,64424
Uttar Pradesh - Allahabad South,MASOOQ KHAN,Bahujan Samaj Party,12162
Uttar Pradesh - Allahabad South,AQEELUR RAHMAN,Peace Party,872
Uttar Pradesh - Allahabad South,SYED AFZAAL MUZIB,All India Majlis-E-Ittehadul Muslimeen,868
Uttar Pradesh - Allahabad South,SATISH KESHARWANI,Rashtriya Apna Dal,801
Uttar Pradesh - Allahabad South,SHIV SHARAN,Independent,672
Uttar Pradesh - Allahabad South,AMIR HBIB,Communist Party of India,583
Uttar Pradesh - Allahabad South,SAVITA SAHOO,Independent,429
Uttar Pradesh - Allahabad South,ARUNESH JAISWAL,Rashtriya Lok Dal,396
Uttar Pradesh - Allahabad South,SATYENDRA KUMAR KUSHWAHA,Republican Party of India,277
Uttar Pradesh - Allahabad South,RAMA NAND SHUKLA,Nirbal Indian Shoshit Hamara Aam Dal,275
Uttar Pradesh - Allahabad South,RAIS AHMAD KHAN,Parivartan Samaj Party,242
Uttar Pradesh - Allahabad South,GAURAV PANDEY,Shivsena,223
Uttar Pradesh - Allahabad South,SANJAY SINGH,Independent,209
Uttar Pradesh - Allahabad South,RAMESH CHANDRA BHARTIYA,Bahujan Mukti Party,194
Uttar Pradesh - Allahabad South,DEVENDR KUMAR TIWARI,Independent,183
Uttar Pradesh - Allahabad South,SAMAR BAHADUR SHARMA,Pragatisheel Samaj Party,168
Uttar Pradesh - Allahabad South,RAMESH CHANDRA,Sarvodaya Bharat Party,160
Uttar Pradesh - Allahabad South,KAMALA PRASAD,Ambedkar Yug Party,126
Uttar Pradesh - Allahabad South,SHIV PRASAD VERMA,Independent,123
Uttar Pradesh - Allahabad South,None of the Above,None of the Above,665
Uttar Pradesh - Bara,DR. AJAI KUMAR,Bharatiya Janata Party,79209
Uttar Pradesh - Bara,AJAY,Samajwadi Party,45156
Uttar Pradesh - Bara,ASHOK KUMAR GAUTAM,Bahujan Samaj Party,37052
Uttar Pradesh - Bara,PHOOL CHANDRA,Nirbal Indian Shoshit Hamara Aam Dal,10704
Uttar Pradesh - Bara,HANSRAJ,Independent,3729
Uttar Pradesh - Bara,AYODHYA PRASAD,Communist Party of India,2573
Uttar Pradesh - Bara,SURESH KUMAR,Indian National Congress,2045
Uttar Pradesh - Bara,RAJKUMAR,Independent,1452
Uttar Pradesh - Bara,SULOCHNA,Rashtriya Lok Dal,1107
Uttar Pradesh - Bara,LAL CHANDRA BHARTI,Bahujan Mukti Party,1092
Uttar Pradesh - Bara,BALRAM,Independent,1075
Uttar Pradesh - Bara,RAJESH KUMAR,Lok Dal,770
Uttar Pradesh - Bara,AMIT KUMAR,Independent,602
Uttar Pradesh - Bara,SHIVBHAJAN,Rashtriya Samaj Paksha,571
Uttar Pradesh - Bara,LALIT KUMAR GOND,Jay Hind Jay Bharat Party,510
Uttar Pradesh - Bara,None of the Above,None of the Above,2327
Uttar Pradesh - Koraon,RAJMANI,Bharatiya Janata Party,100427
Uttar Pradesh - Koraon,RAM KRIPAL,Indian National Congress,46731
Uttar Pradesh - Koraon,RAJ BALI JAISAL,Bahujan Samaj Party,26056
Uttar Pradesh - Koraon,DHARM RAJ,Independent,5134
Uttar Pradesh - Koraon,RAM DEV,Samajwadi Party,3958
Uttar Pradesh - Koraon,SHIV JANAK,Bahujan Mukti Party,2214
Uttar Pradesh - Koraon,CHIRAUNJI LAL,Communist Party of India  (Marxist),1861
Uttar Pradesh - Koraon,AKHILESH KUMAR,Bhartiya Shakti Chetna Party,1285
Uttar Pradesh - Koraon,TEJBALI,Independent,1244
Uttar Pradesh - Koraon,RAVI SHANKAR,Aadim Samaj Party,1136
Uttar Pradesh - Koraon,RANG LAL,Jan Adhikar Party,1083
Uttar Pradesh - Koraon,MAYAWATI,Rashtriya Lok Dal,983
Uttar Pradesh - Koraon,PANCHAM LAL,Communist Party of India  (Marxist-Leninist)  (Liberation),907
Uttar Pradesh - Koraon,None of the Above,None of the Above,3208
Uttar Pradesh - Kursi,SAKENDRA PRATAP VERMA,Bharatiya Janata Party,108403
Uttar Pradesh - Kursi,FAREED MAHFOOZ KIDWAI,Samajwadi Party,79724
Uttar Pradesh - Kursi,V.P.SINGH VERMA,Bahujan Samaj Party,51091
Uttar Pradesh - Kursi,SARVAR ALI,Peace Party,8329
Uttar Pradesh - Kursi,CH.TALIB NAJIB KOKAB,Independent,4381
Uttar Pradesh - Kursi,AMAR SINGH,Rashtriya Lok Dal,2445
Uttar Pradesh - Kursi,VINOD KUMAR YADAV,Communist Party of India,1985
Uttar Pradesh - Kursi,MO.HAROON,Independent,1000
Uttar Pradesh - Kursi,ANITA SINGH,Independent,886
Uttar Pradesh - Kursi,OMPRAKASH DAS,Bhartiya Krishak Dal,817
Uttar Pradesh - Kursi,RAMOO LAL VERMA,Bahujan Mukti Party,602
Uttar Pradesh - Kursi,MAHENDRA PAL SINGH S/O BARATILAL,Rashtravyapi Janta Party,456
Uttar Pradesh - Kursi,MAHENDRA PAL SINGH S/O SWAMI NATH,Hamari Apni Party,432
Uttar Pradesh - Kursi,RAM KISHOR,Dr. Bhimrao Ambedkar Dal,402
Uttar Pradesh - Kursi,NEELAM SAINI,Adarsh Samaj Party,318
Uttar Pradesh - Kursi,None of the Above,None of the Above,1460
Uttar Pradesh - Ram Nagar,SHARAD KUMAR AWASTHI,Bharatiya Janata Party,88937
Uttar Pradesh - Ram Nagar,ARVINDA KUMAR SINGH 'GOPE',Samajwadi Party,66210
Uttar Pradesh - Ram Nagar,HAFEEZ BHARTI,Bahujan Samaj Party,53891
Uttar Pradesh - Ram Nagar,RAJ LUXMI VERMA,Peace Party,3137
Uttar Pradesh - Ram Nagar,PUSHPA SHAHI,Rashtriya Lok Dal,1552
Uttar Pradesh - Ram Nagar,GULAM MUSTAFA,Independent,1457
Uttar Pradesh - Ram Nagar,SHAHNAWAZ,All India Majlis-E-Ittehadul Muslimeen,1196
Uttar Pradesh - Ram Nagar,SANDEEP SINGH,Independent,1061
Uttar Pradesh - Ram Nagar,AMAR SINGH,Rashtravyapi Janta Party,944
Uttar Pradesh - Ram Nagar,SURESH PATHAK,Shivsena,880
Uttar Pradesh - Ram Nagar,WARIS ALI,Bahujan Mukti Party,533
Uttar Pradesh - Ram Nagar,RAMESH CHANDRA,Jai Hind Samaj Party,435
Uttar Pradesh - Ram Nagar,MOHD. LAIK,Nagrik Ekta Party,398
Uttar Pradesh - Ram Nagar,JAYNATH,Manavtawadi Samaj Party,352
Uttar Pradesh - Ram Nagar,None of the Above,None of the Above,2094
Uttar Pradesh - Barabanki,DHARMRAJ SINGH YADAV URF SURESH YADAV,Samajwadi Party,99453
Uttar Pradesh - Barabanki,SURENDRA SINGH,Bahujan Samaj Party,69748
Uttar Pradesh - Barabanki,HAR GOVIND SINGH,Bharatiya Janata Party,67112
Uttar Pradesh - Barabanki,BRIJESH KUMAR,Rashtriya Lok Dal,1244
Uttar Pradesh - Barabanki,ARJUN SINGH,Peace Party,1221
Uttar Pradesh - Barabanki,DEEPAK YADAV,Independent,941
Uttar Pradesh - Barabanki,ANIL KUMAR,Eklavya Samaj Party,712
Uttar Pradesh - Barabanki,MOHD. ABUL KALAM QURESHI URF MOHD.KALAM,All India Majlis-E-Ittehadul Muslimeen,708
Uttar Pradesh - Barabanki,SANJAY KUMAR BALMIKI,Independent,635
Uttar Pradesh - Barabanki,AMARDEEP SINGH,Independent,457
Uttar Pradesh - Barabanki,SURESH CHANDRA SRIVASTAVA,Bharatiya Subhash Sena,452
Uttar Pradesh - Barabanki,SUNEEL KUMAR,Bahujan Mukti Party,432
Uttar Pradesh - Barabanki,MOHD. AFTAB,Lok Gathbandhan Party,321
Uttar Pradesh - Barabanki,MOHD. SAMI,Dr. Bhimrao Ambedkar Dal,237
Uttar Pradesh - Barabanki,None of the Above,None of the Above,1622
Uttar Pradesh - Zaidpur,UPENDRA SINGH,Bharatiya Janata Party,111064
Uttar Pradesh - Zaidpur,TANUJ PUNIA,Indian National Congress,81883
Uttar Pradesh - Zaidpur,KM. MEETA GAUTAM,Bahujan Samaj Party,48095
Uttar Pradesh - Zaidpur,RAMGOPAL,Samajwadi Party,4383
Uttar Pradesh - Zaidpur,KUNJ BIHARI,Independent,2505
Uttar Pradesh - Zaidpur,URMILA,Peace Party,1601
Uttar Pradesh - Zaidpur,RAMDAYAL,Independent,1209
Uttar Pradesh - Zaidpur,GYANWATI,Bhartiya Krishak Dal,719
Uttar Pradesh - Zaidpur,RAJKAMAL BHASKAR,Lok Dal,520
Uttar Pradesh - Zaidpur,RAMPHAL,Bahujan Mukti Party,518
Uttar Pradesh - Zaidpur,LALJI,Dr. Bhimrao Ambedkar Dal,465
Uttar Pradesh - Zaidpur,GAYA PRASAD,Rashtravyapi Janta Party,357
Uttar Pradesh - Zaidpur,None of the Above,None of the Above,2968
Uttar Pradesh - Dariyabad,SATISH CHANDRA SHARMA,Bharatiya Janata Party,119173
Uttar Pradesh - Dariyabad,RAJEEV KUMAR SINGH,Samajwadi Party,68487
Uttar Pradesh - Dariyabad,MOHD.MUBASSIR,Bahujan Samaj Party,54512
Uttar Pradesh - Dariyabad,SUMAN MISHRA,Independent,2217
Uttar Pradesh - Dariyabad,SURJEET,Rashtriya Lok Dal,2030
Uttar Pradesh - Dariyabad,RAM NARAYAN,Independent,1263
Uttar Pradesh - Dariyabad,USHA DWIVEDI,Indian Savarn Samaj Party,1217
Uttar Pradesh - Dariyabad,KAPIL MUNI YADAV,Lok Dal,983
Uttar Pradesh - Dariyabad,ANIRUDH DAYAL CHAUDHARY,Republican Party of India (A),885
Uttar Pradesh - Dariyabad,DHIRENDRA KUMAR,Bahujan Mukti Party,790
Uttar Pradesh - Dariyabad,None of the Above,None of the Above,3013
Uttar Pradesh - Rudauli,RAM CHANDRA YADAV,Bharatiya Janata Party,90311
Uttar Pradesh - Rudauli,ABBAS ALI ZAIDI URF RUSHDI MIYAN,Samajwadi Party,59052
Uttar Pradesh - Rudauli,FIROZ KHAN URF GABBAR,Bahujan Samaj Party,47257
Uttar Pradesh - Rudauli,PRAMOD KUMAR LODHI,Sabka Dal United,2104
Uttar Pradesh - Rudauli,BALRAM YADAV,Rashtriya Lok Dal,1707
Uttar Pradesh - Rudauli,GIRISH TIWARI,Independent,1342
Uttar Pradesh - Rudauli,RAGHVENDER SINGH VERMA,Independent,1212
Uttar Pradesh - Rudauli,MRITYUNJAY MISHRA,AARAKSHAN VIRODHI PARTY,1106
Uttar Pradesh - Rudauli,PAWAN PRAJAPATI,Independent,999
Uttar Pradesh - Rudauli,SANDEEP KUMAR,Moulik Adhikar Party,747
Uttar Pradesh - Rudauli,SYED SUHAIL AHMAD,Bahujan Mukti Party,683
Uttar Pradesh - Rudauli,VISHWAJEET TRIPATHI,Jan Sevak Party,541
Uttar Pradesh - Rudauli,SANT RAM,Shivsena,524
Uttar Pradesh - Rudauli,SALIMAN,Hamari Apni Party,429
Uttar Pradesh - Rudauli,None of the Above,None of the Above,2225
Uttar Pradesh - Haidergarh,BAIJNATH RAWAT,Bharatiya Janata Party,97497
Uttar Pradesh - Haidergarh,RAM MAGAN,Samajwadi Party,63977
Uttar Pradesh - Haidergarh,KAMALA PRASAD RAWAT,Bahujan Samaj Party,48600
Uttar Pradesh - Haidergarh,None of the Above,None of the Above,4096
Uttar Pradesh - Milkipur,GORAKH NATH,Bharatiya Janata Party,86960
Uttar Pradesh - Milkipur,AWADHESH PRASAD,Samajwadi Party,58684
Uttar Pradesh - Milkipur,RAMGOPAL,Bahujan Samaj Party,46027
Uttar Pradesh - Milkipur,PREM KUMAR,Independent,1630
Uttar Pradesh - Milkipur,UMA SHANKAR,Bahujan Mukti Party,1380
Uttar Pradesh - Milkipur,DESH RAJ,Moulik Adhikar Party,1359
Uttar Pradesh - Milkipur,KARAN RAWAT,Independent,1099
Uttar Pradesh - Milkipur,None of the Above,None of the Above,2727
Uttar Pradesh - Bikapur,SHOBHA SINGH CHAUHAN,Bharatiya Janata Party,94074
Uttar Pradesh - Bikapur,ANAND SEN,Samajwadi Party,67422
Uttar Pradesh - Bikapur,JITENDRA SINGH,Bahujan Samaj Party,49690
Uttar Pradesh - Bikapur,JUVER AHMAD,All India Majlis-E-Ittehadul Muslimeen,3275
Uttar Pradesh - Bikapur,AZAHARUDDIN,Bahujan Mukti Party,1643
Uttar Pradesh - Bikapur,ALOK DWIVEDI,Rashtriya Lok Dal,1261
Uttar Pradesh - Bikapur,RAM JANAK,Moulik Adhikar Party,1038
Uttar Pradesh - Bikapur,DASRATH KUMAR SINGH,Independent,952
Uttar Pradesh - Bikapur,RAJENDRA,Independent,832
Uttar Pradesh - Bikapur,ANIL KUMAR,Adarshwaadi Congress Party,472
Uttar Pradesh - Bikapur,None of the Above,None of the Above,2257
Uttar Pradesh - Ayodhya,VED PRAKASH GUPTA,Bharatiya Janata Party,107014
Uttar Pradesh - Ayodhya,TEJ NARAYAN PANDEY ALIAS PAWAN PANDEY,Samajwadi Party,56574
Uttar Pradesh - Ayodhya,MO. BAZMI SIDDEKE,Bahujan Samaj Party,39554
Uttar Pradesh - Ayodhya,BANSHI LAL YADAV,Bahujan Mukti Party,5661
Uttar Pradesh - Ayodhya,SUSHIL JAISWAL,Adhikar Party,1635
Uttar Pradesh - Ayodhya,SURYAKANT PANDEY,Communist Party of India,1353
Uttar Pradesh - Ayodhya,DR. RIPUNJAY SINGH,Adarshwaadi Congress Party,737
Uttar Pradesh - Ayodhya,DHARMENDRA KUMAR UPPADHYAY,Rashtriya Lok Dal,644
Uttar Pradesh - Ayodhya,DEVKI NANDAN MAURYA,Jan Adhikar Party,585
Uttar Pradesh - Ayodhya,MAHESH KUMAR NISHAD,Janvadi Party(Socialist),532
Uttar Pradesh - Ayodhya,RADHE SHYAM SHRIVASTAVA,Independent,492
Uttar Pradesh - Ayodhya,PRADEEP KUMAR KORI,Republican Party of India (A),406
Uttar Pradesh - Ayodhya,DEELIP CHAUDHARI,Moulik Adhikar Party,398
Uttar Pradesh - Ayodhya,AKHILESH KUMAR ALIAS AKHILESH CHATURVEDI,Communist Party of India  (Marxist-Leninist)  (Liberation),359
Uttar Pradesh - Ayodhya,None of the Above,None of the Above,1544
Uttar Pradesh - Goshainganj,INDRA PRATAP ALIAS KHABBU TIWARI,Bharatiya Janata Party,89586
Uttar Pradesh - Goshainganj,ABHAY SINGH,Samajwadi Party,77966
Uttar Pradesh - Goshainganj,DHARMRAJ NISHAD,Bahujan Samaj Party,46528
Uttar Pradesh - Goshainganj,RAM NAYAN,Nirbal Indian Shoshit Hamara Aam Dal,5137
Uttar Pradesh - Goshainganj,NAGESHWAR PRASAD SAROJ,Independent,1284
Uttar Pradesh - Goshainganj,DR. AMIT PATEL,Bahujan Mukti Party,1278
Uttar Pradesh - Goshainganj,SHIV PRAKASH KORI,Swatantra Jantaraj Party,1162
Uttar Pradesh - Goshainganj,AAN SHIKHAR SHRIVASTAVA,Satya Shikhar Party,862
Uttar Pradesh - Goshainganj,NASIB ALI,Most Backward Classes Of India,658
